event_time,update,os,try_cnt,success_cnt
2018-06-01,before,android,3146,773
2018-06-01,before,ios,1036,199
2018-06-02,before,android,2218,549
2018-06-02,before,ios,669,113
2018-06-03,before,android,1594,433
2018-06-03,before,ios,551,97
2018-06-04,before,android,3346,909
2018-06-04,before,ios,1021,226
2018-06-05,before,android,3216,874
2018-06-05,before,ios,1178,201
2018-06-06,before,android,2483,530
2018-06-06,before,ios,808,152
2018-06-07,before,android,3360,854
2018-06-07,before,ios,1116,239
2018-06-08,before,android,2759,748
2018-06-08,before,ios,1038,208
2018-06-09,before,android,2164,562
2018-06-09,before,ios,660,125
2018-06-10,before,android,1657,405
2018-06-10,before,ios,634,104
2018-06-11,before,android,3180,821
2018-06-11,before,ios,1097,238
2018-06-12,before,android,2884,784
2018-06-12,before,ios,925,188
2018-06-13,before,android,2085,580
2018-06-13,before,ios,584,108
2018-06-14,before,android,2964,811
2018-06-14,before,ios,934,190
2018-06-15,before,android,2569,691
2018-06-15,before,ios,989,205
2018-06-16,before,android,1847,561
2018-06-16,before,ios,595,98
2018-06-17,before,android,1233,366
2018-06-17,before,ios,552,97
2018-06-18,before,android,3020,776
2018-06-18,before,ios,1100,222
2018-06-19,before,android,3391,863
2018-06-19,before,ios,1105,217
2018-06-20,before,android,3445,856
2018-06-20,before,ios,1136,212
2018-06-21,before,android,3335,820
2018-06-21,before,ios,1073,208
2018-06-22,before,android,3201,771
2018-06-22,before,ios,973,177
2018-06-23,before,android,2008,561
2018-06-23,before,ios,647,114
2018-06-24,before,android,1585,382
2018-06-24,before,ios,549,85
2018-06-25,before,android,3077,868
2018-06-25,before,ios,1018,224
2018-06-26,before,android,3086,821
2018-06-26,before,ios,980,204
2018-06-27,before,android,3532,808
2018-06-27,before,ios,1178,231
2018-06-28,before,android,3125,794
2018-06-28,before,ios,1010,194
2018-06-29,before,android,3090,767
2018-06-29,before,ios,981,195
2018-06-30,before,android,11937,1439
2018-06-30,before,ios,636,113
2018-07-01,before,android,2394,490
2018-07-01,before,ios,693,120
2018-07-02,after,android,346,76
2018-07-02,after,ios,71,29
2018-07-02,before,android,3680,903
2018-07-02,before,ios,865,205
2018-07-03,after,android,4019,1044
2018-07-03,after,ios,986,293
2018-07-03,before,android,895,252
2018-07-03,before,ios,171,43
2018-07-04,after,android,4102,1055
2018-07-04,after,ios,1103,320
2018-07-04,before,android,562,175
2018-07-04,before,ios,57,20
2018-07-05,after,android,4068,1043
2018-07-05,after,ios,1037,277
2018-07-05,before,android,436,113
2018-07-05,before,ios,47,18
2018-07-06,after,android,3784,881
2018-07-06,after,ios,740,183
2018-07-06,before,android,339,105
2018-07-06,before,ios,50,9
2018-07-07,after,android,2878,687
2018-07-07,after,ios,424,132
2018-07-07,before,android,192,56
2018-07-07,before,ios,19,4
2018-07-08,after,android,2332,497
2018-07-08,after,ios,409,119
2018-07-08,before,android,124,37
2018-07-08,before,ios,15,3
2018-07-09,after,android,3604,983
2018-07-09,after,ios,826,228
2018-07-09,before,android,352,104
2018-07-09,before,ios,44,10
2018-07-10,after,android,3742,917
2018-07-10,after,ios,860,251
2018-07-10,before,android,287,89
2018-07-10,before,ios,25,5
2018-07-11,after,android,3995,883
2018-07-11,after,ios,820,190
2018-07-11,before,android,250,65
2018-07-11,before,ios,23,12
2018-07-12,after,android,3848,931
2018-07-12,after,ios,951,200
2018-07-12,before,android,305,80
2018-07-12,before,ios,41,10
2018-07-13,after,android,3814,810
2018-07-13,after,ios,1051,219
2018-07-13,before,android,279,77
2018-07-13,before,ios,28,11
2018-07-14,after,android,2926,655
2018-07-14,after,ios,955,136
2018-07-14,before,android,130,44
2018-07-14,before,ios,15,5
2018-07-15,after,android,2634,517
2018-07-15,after,ios,979,119
2018-07-15,before,android,148,30
2018-07-15,before,ios,8,2
